,text_a,text_b,labels
925,@mkini_bm Niat tak baik cina DAP ni .. UMNO &amp; PAS tak bertanding pun kenapa dikaitkan dlm hal ni,UMNO,2
926,"@Iman_Nadim Mantul pak ebu lah! Hypebeast pun acah kaya, nak kutuk mat rempit. Dia tak tahu ke mat rempit byk duit",Hypebeast,2
927,Komunis tidak ada tempat di 02 #02vsPKI,02vsPKI,2
928,Twitter perusahan-perusahan besar udah gunain meme jadi alat pemasaran. Selamat datang wahai kapitalis!,Twitter,2
929,Ade aku terus marah ke babi???? Adeee??? Aku cakap elok2 kan eeiii sial laaaa bodohhh,Adeee,2
930,aku dah malas  nak hadap OB buat semetara. aku nak hadap benda lain,semetara,2
931,"Aku tak boleh betul la ckp pasal org kena rogol, kena cabul ni. Sensitive.",Sensitive,2
932,@rakamilshah Mana ada racist. Chong kk mandarin yang ajar aku!,Chong,2
933,Alah bodoh la takde keberanian nk tegur MyCar driver. Grab kalau sorang bole plak. Jirr,MyCar,2
934,"@babysainttt anjirr lah
aku nilai 3,3 aja ngos ngosan",3,2
935,Lancau ah mustafi. Pukimak punca,Pukimak,2
936,@azharudin_z @rmol_id Banyak yg gak paham komunis itu apa. Kebanyakan hanya tahu dari WA.,WA,2
937,"Sosialis sikap borjuis.....

Eh gimana?",Sosialis,2
938,@Ikmalhakim98 Denggi kot ple. Check dr,Denggi,2
939,Tak tahu lah siapa yang bodoh skrg ni. Takde introduction apa semua ni. Jenuh lah nak hadam. Satu haram tak paham ,Satu,2
940,Mdec mcm bodoh,Mdec,2
941,"Since t6 tgh denggi teruk, mmg anak aku tak berayalah rumah atok nenek dia. Takut aku nak bawak dia. Duduk jelah diam2 kat rumah ni.",t6,2
942,@HChildkidz @PartaiSocmed @Dahnilanzar Anjrit lah... bisa2 mereka bilang HP di hack rame2 oleh China Aseng Kafir syiah komunis liberalis,HP,2
943,"Ayah: tgk ni orang main mobile legend pakai earphone sampai mati
Me: phew.. nasib baik aku main pubg",Me,2
944,Aku tktahu kenapa dari dulu aku benci Tentera Darat ,Tentera Darat,2
945,@bang_naja Rapist apologist takpa asalkan Melayu ,Melayu,2
946,"Actually Ayah ngan Ibu dua2 tengah demam teruk, ayah je yg di suspek denggi rupanya",dua2,2
947,@nurinbtrsya_ Denggi?,Denggi,2
948,Muslim sejati akan dengan sendirinya menjadi sosialis,Muslim,2
949,"Kimak aku baru upload ig bubble tea korang dah reply kencing manis,  hmm racist",Kimak,2
950,YAHUDI MANO DUK AJAR KEDEI SIYE NI! NASI GORENG KAMPUNG 8 YA! KAPITALIS SUNGGUH DEMO NI! DOK SEK SEK KITO BOH!,BOH,2
951,@logikasehat3 @Faisal_R01 @SY_Bwz @tytoalba2012 @adiejoe37 @yunartowijaya Kerjn...abis di grogot komunis Tuan Qwi,Qwi,2
952,potong rambut pendek dan dengan bodohnya malah potong bagian kanan lagi sekitar 2centi ,2centi,2
953,@emizzario @GostanGohek @NgaKorMing CINA DAP TETAP CINA....TKPA TUNGGU NT MASA DIA,CINA,2
954,@MyHEALTHKKM ramai  penduduk taman kosasampang selangor kne denggi...mpaj xder buat fogging...kkm tlg take action,kosasampang,2
955,@candyninibaby Sobs sobs. Dekat mention I lagi banyak tapi malas nak reply sbb opinion mereka jugak kan :'),Sobs,2
956,"Esok jangan terkejut tengok barang aku semua pink , luggage pink haaa baju kurung n beg pun pink hikhik",Esok,2
957,@Amy_Cathode hal dlm kelambu jgn cite sini doh.. risau pulak aku ayap kena rogol stgi ,stgi,2
958,"@mamadmatmamad Mat Rempit kan cincai punya bangsa. Selagi tak koyak atau berlubang macam roti kirai, selagi tu lah dia pakai. ",Mat Rempit,2
959,"Mentang mentang lah Digi nak merge dengan Celcom,time time gini internet terus jahanam",Digi,2
960,@NicolasMaduro @DivHumas_Polri pak tangkap ini pak! komunis ini orang@NicolasMaduro,NicolasMaduro,2
961,Bukan nak racist tapi foreigner Uia bawa kereta cam harammm,Uia,2
962,@Ohailly Ok jom. Pukimak anjenk budak tiktok balik balik bende yg same je.,Pukimak,2
963,"@JISUNGodds Iya 2 hari kemarin batuk doang sama bersin yang bikin sakit tenggorokan, sekarang malah meler kiri kanan hiks",kemarin,2
964,Esok kena bagi talk denggi pkul 8am tapi syafinaz ni apahal tak boleh tido pula hah ei,talk,2
965,@amirsyaqir_ @bongkersz @InjangNation Pala butoh dia. Pagi raya mintak maki,Pala,2
966,"Nasib demam denggi, ingtkn amnesia haih#CariAkuDiSyurga",CariAkuDiSyurga,2
967,"@MPI33704155 Innalillahi wainnailaihi roji'un
Selalu waspada !!! 
Terhadap kaum radikal paham komunis pki",roji,2
968,@DayatNescafeT Gws..Denggi ka.,Denggi,2
969,"@ustadtengkuzul Sesama komunis ya gak ada peluru yang melayang.
Klo di sini rakyat pancasilais berhadapan dg penguasa sarang komunis",Sesama,2
970,@SafwanTukimin Malas nak recoil pe semua pula,Malas,2
971,@manglaksa Kucai ni la yang paling aku benci . Mak aku selalu sangat letak dalam kuey teow goreng tanpa izin aku .,Kucai,2
972,"Sebodoh-bodohnya itu adalah saat idolain Amien Rais &amp; Anies Baswedan.

Sekarang ngerasa BEGO banget jadinya inget itu. ",Amien Rais,2
973,"aku kat luar, senyap. nanti dah sampai rumah terus memekak. mcm tadi. 2 kali k kena. buat penat aku turon naik rumah aku mcm bodoh.",2,2
974,@My_CrimeWatch @NabilHussein Kesian mat rempit kene tuduh. Ni kerja mat moto beso selalunya kalau touring/suprerb,Kesian,2
975,Tu dia mira dah kuar suara.....padan muka anas..#CariAkuDiSyurga,CariAkuDiSyurga,2
976,Ok harini tak ngantuk sebab malam tadi tak main pubg . Kalau main memang jahanam waktu tidur ,malam tadi,2
977,@FazzAhmad2 Abg fazz..knp susah eh sye nak benci abg..,Abg fazz,2
978,"Wira Rakyat - DS Najib
Wira DiRaja Melayu - TMJ
Wira Kapitalis D4P - Atok Hang",Hang,2
979,@nizarjoharie @ishakworm Last week dlm plastik lagi bantal tu. Tadi dah koyak  tu yang sakit hati tu,week,2
980,Semua question yg aku tanya mesti akan menjurus ke BTS. I CANNOT BRAIN,CANNOT,2
981,Bongok punya botak...mna sakit hati pon...elok botak sikit sat g aq tarik rambut habih kot....,Bongok,2
982,"Sejenis izzati susah nak demam, sekali demam kene denggi laa influenza laa, yg semalam ni siap kene drip air bagai. ",izzati,2
983,"@shidayat_alqus Maling teriak maling dasar komunis...
#LindungiSaksiBPN 
#LindungiSaksiBPN",Maling,2
984,"@miladi_fahmi @zarazettirazr Pak Jo mantap.... Ngawurnya dapat, ngibulnya dapat dan yg terpenting bodohnya natural asli pemberian Tuhan.",Pak Jo,2
985,"@mujahidrawa
mana pergi MARUAH ISLAM U
DAPIG TU KOMUNIS
TUAN
KAMU NK TAKUT APA",ISLAM,2
986,"@iSyafiqKyle Walaupun Ep akhir.. ttp sakit Hati tgk riana...
#BukanCintaAku
@iSyafiqKyle",BukanCintaAku,2
987,"Masa iya, son kagak diincer klub kapitalis? Maennya gacor bet",klub,2
988,Azpili ja yang semangat malam ni. Lain semua malas nak defend,Azpili,2
989,kata geli aku tb dgn aboy tp dia buat story calling his gf wife?? euw??? mat rempit bluekk,tb,2
990,@mvhdvshrvf @999Malaysia Heyy jgn racist!! Yg tgk tu puasa.. ,tu puasa,2
991,"Tergilitik dengan selentingan  salah satu tweet yg bertuliskan ""hijrah kok kapitalis""..",Tergilitik,2
992,"Liberal, Kapitalisme atau Neoliberalisme?
Ahhhh saya ga ngerti!!! ga sampai kesono daya nalarku cuk",Liberal,2
993,"@antoisme @PartaiSocmed BREADTALK, KETUCKY, PIZZA HUT. ANTEK ASING. KAPITALIS BANGSAT. HANCURKAN ",PIZZA,2
994,@nurudinfadli_ Denggi,Denggi,2
995,"Acap tetiba cakap tak tau moan dan ike ike tu bunyi apa,anjirr betul jantan ni",Acap,2
996,Paling babi @umobile aku da topup thru Cimb clicks pastu kat apps umobile kata failed tapi account kat Cimb da deducted. Lancau la,Cimb,2
997,Dok fikir bekas apa nk guna utk bungkuskan makanan ni. Kalau bg Tupperware mengamuk ma ni kang,Tupperware,2
998,Walaupun intelektualnya mumpuni tapi bisa dipastikan ketiganya hancur karna kurangnya jiwa sosialis yg tertanam di kepribadiannya...,ketiganya,2
999,Asal ak ikot nangis nie..ak plk yg sakit hati #AsalkanDiaBahagia Sian adira..huaaaa,AsalkanDiaBahagia,2
1000,"Scientist dan sosialis 
Data dan argument cakap bermakna hiperbola ",Scientist,2
1001,"@afzanesia @Faizzpaiz Jahanam betul 2 ekoq ni, jom la satay kambing esok malam gemok2 penakut!",Jahanam,2
1002,"@zt000tz Tak hebat tapi jadi kebencian, hendak pulak musim panas, banyak kena denggi. Trick diorang,bertelor atas bumbung!cetan betoi!",Trick,2
1003,"@axdwin @prabowo Jokowi apa tdk di doakan??..sosialis kalee
#MKwayOFjustice

#MKwayOFjustice",MKwayOFjustice,2
1004,@Khairunnisakmrl Ye awak saya malas nak tangguh ,Ye,2
1005,"Indikatornya jelas memusuhi ulama, memusuhi islam dan simbol islam. Apa kalau bukan komunis? #02vsPKI",02vsPKI,2
1006,Daie pun boleh tahan bodohnya. Daie yg sorang tu jelah,Daie,2
1007,@ustadtengkuzul Cie cie belain Komunis nih. Yg penting bisa nyinyir semua sikat,belain,2
1008,@Sir_Azri @tokmatn9 Hrp Melayu Islam bangkit &amp; sokong anak jati kita...tolak Komunis &amp; Orang Asing,Melayu,2
1009,"@msaid_didu Pemeritahan Ta'i, kepanikan makin menonjol.

Muka2 komunis ( China ), serta muka2 penjilat.",China,2
1010,Tengok cerita ni buat aku benci sial trump,sial trump,2
1011,What the heck ..wong called me when i am on a long holiday. Sah2 la aku x duduk kedah pon aku akan ada di kelantan....,kedah,2
1012,"@ashz_26 2 kali dah. sekor pick silencer off, tadi clinkz off. bebal sia. macam haram. takda yg orang yg boleh start war",2,2
1013,"2beer!

Indon : ""KOMUNIS ITU HARAM!!""

Also indon : ""TANAH HARUS DIDISTRIBUSIKAN KE RAKYAT DENGAN ADIL UNTUK KEMAKMURAN RAKYAT!!!""",2beer,2
1014,Mcm bodo pegi join trainer guide NBA. Padahal sikpenah pun main.,NBA,2
1015,Nice one! Nasib tak baham tiang lampu! Nak letup tak bagi signal weii,one,2
1016,@paragodang Anjirr luu,luu,2
1017,"@cheolra BANYAAAAAK!!!! BANYAK KALI AKU BENCI YA. THE SAEM, AO+, NENECIKIN. BEDEBH KALIAN KAPITALIS!",NENECIKIN,2
1018,"Takde mood nak layan semua org, sakit hati aku",org,2
1019,"@TsamaraDKI  Jaman penjajah belanda utk memecah belah kekuatan Islam maka dilahirkan budi utono,polanya sama dg partai sosialis indonesia",Islam,2
1020,"Sepatut malam ni ada usrah,tapi anak naqibah warded sebab denggi. Syafahullah ",Syafahullah,2
1021,@Takviri @jokowi Komunas komunis bunah bunuh mulut taik ,Komunas,2
1022,Dia punya tahap penat tu rasa nak mengamuk sebab kerja bertambah tambah. Bateri badan dah 20% sis tak larat ,20,2
1023,@abuhannanzai @MuAsy03 Denggi ni mllm,ni,2
1024,Waa dgn timah ni balik rumah lambat kemain siap cium tangan konon nak ambik hati lah tu takut kena marah ,Waa,2
1025,"Ini gw lagi di tol, mau ke Depok trus liat range rover hitam lewat 

Dalem hati: ""Anjirr bang Arkie lewat?!?!?"" 

@chanthedom",Depok,2
1026,Ish nasib tak menyebelahi aku .. nak masuk kanan tengok kereta blkg sama !! Bodoh sial aku nak kena p perabis duit pulak p polishh kereta,Ish,2
1027,@haikalismail_ Meh uitm rembau esok kalau kau sanggup. Aku grand final esk. Teammate aku kene tahan wad pulak sbb denggi,Teammate,2
1028,"@techsupremo @saifuddinabd Baru setahun negara dah tambah hutang rm100 b, klu lama lg, makin jahanam la msia ni..  ",rm100,2
1029,Fuck you siap bersayang semua apahal? Kau ni dari dulu lagi suka menipu. Kawan ke kalau dah bersayang semua?,Kawan,2
1030,@thevirdas Waah liberal waah,Waah,2
1031,Aku stress betul lah park area kilang ni. Kereta aku dah lah hitam. Habuk kemain tebal eh. Tahik anjing takyah cakap lah,Tahik,2
1032,@NgaKorMing @Khairykj You are like komunis cina bintang 3 la Nga Kor Ming,Ming,2
1033,"First time ku photostat, lamak2 ku idup jadi student dolok, sik pernah ku tauk rega PHOTOSTAT PUTIH HITAM macam tok.

RM15 total pukimak",First,2
1034,"@ngopipanas Maskapai asing atau aseng nih ? 
Masuk deh sosialis kapitalis....",Maskapai,2
1035,Tak rugi tapi staff malas nak bancuh serbuk cheese tu,cheese,2
1036,@Rika_nia13 @BangPino_ @KPU_ID siap2 dah diakhir semua ini jika tetap curang nasib kalian semua akan seperti nasib kaum komunis paska 1965,1965,2
1037,Jaga bumi dari penambang kapitalis.. sebaik kamu jaga si doi #haribumi #EarthDay,haribumi,2
1038,kah kah kah lemas lagi padan muka ko Chelsea babi!!!,Chelsea,2
1039,Dia yg buat bapa dia susah sampai luka luka org tua tu ttbe buat post hargailah pengorbanan ayah. Bro istg aku tak faham. Bodohnya.....,Bro,2
1040,"Pak Jokowi apa Pak Prabowo bebas, semoga pemilu damai. Tanpa unsur SARA. 
Negara islam jangan komunis apalagi. :)) #Pemilu2019",Pemilu2019,2
1041,@EmirNizz Tahun ni kena denggi ada miss beberapa hari coach. Camna ni,Camna,2
1042,Ahhh aku egt zaman makan hati ni dah abes .. pehal laa sakit hati aku ngadap aok hari hari gini,aok,2
1043,"Hari ni makan nasi kerabu and ayam percik, 2 benda yg aku x gemar pun, tp sebab malas nak fikir, kita makan aje.",2,2
1044,Sentiasa with this lame jokes. I racist dengan Melayu. ,Melayu,2
1045,Cannot brain betol aku orang yg pakai sweeter tgh2 hari buta .kena denggi kot .,hari,2
1046,"biar orang buat kita itu ini okay? one day something yg dia buat tu kene kat batang hidung dia sendiri ,. haa padan muka",one,2
1047,Hilir mudik pencari kerabat sesama sakit hati mulai tumbang ditinggal dan menjadi buih..,Hilir,2
1048,"belum amik pt3 tapi dah malas nak sekolah , fadeup ah hmm",fadeup,2
1049,"@detikcom Amerika mulai main isu osang-aseng, china komunis ... ",Amerika,2
1050,"puas tengok danial nak kenakan intan, padan muka
#CuriCuriCinta",CuriCuriCinta,2
1051,@malaygirliscute @serenitysakinah @sinneddonut Woii bodo kaki fitnah.. Delete la,Delete,2
1052,"@Box2boxID Wooow, kapitalis sejati ",Wooow,2
1053,@kyokkkkkkk Kyokk baik gi check takut suspect denggi kekgi sbb lama ngat demamm,Kyokk,2
1054,"""Team mana kena rogol waktu sahur tadi?""

""BARCELONA, cikgu!""",Team,2
1055,"Ku lari ke hutan kemudian menyanyiku.
Ku lari ke pantai kemudian teriakku.
Sepi...sepi dan sendiri aku benci
-Acap Rangga",Rangga,2
1056,"Saya ketawa membaca tweets reply dibawah.

Nampaknya 2019 masih ramai yang bodoh ya?",2019,2
1057,@UusRsd @TsamaraDKI Kode 2024 ganti jadi Partai Sosialis Indonesia. Simbol &amp; singkatan ga perlu diubah.,Partai Sosialis Indonesia,2
1058,"nanti kita iftar sama-sama
 sampai mati pun tak gerak
#RamadanTiba",RamadanTiba,2
1059,Penat baru sampai malas nak unpack malas nak mandi malas nak buat apa apa,unpack,2
1060,"Aku malas nak dengo pasal politik dah.Rosmah pun belanja guna duit orang bayar cukai,kalau tak salah lagi,tak tahu lah nak cakap apa",Rosmah,2
1061,@Mosthafavi Hijrah zaman  now... hijrah yg masuk juga dlm perangkap gimmick media dan produk kapitalis.,Hijrah,2
1062,@HukumDan gaya Komunis lempar batu sembunyi tangan atau ibarat maling teriak maling....sudah jadul ini mah...,jadul,2
1063,"Malas nak pergi sekolah, nak belajar, buat homework , amik exam , Rasa nak 24j bekurung dlm bilik. Aman hidup aku",24j,2
1064,Pukimak betul pagi pagi dah buat aku hangin. Kau dengan kunci kau dengan keluarga kau boleh mati sama sama lah aku tanam satu kubur. Anjeng.,Pukimak,2
1065,"@detikcom Bapakmu dijadikan tahanan rumah sampe mati oleh Harto, trus skrg demi kekuasaan, anda koalisi ama anak2nya?? Sehat??",Harto,2
1066,Oh ramai eh reply tweet sushi inari i. You semua suka laa tweet2 macam tu? Tweet yang i nampak bodoh ,sushi,2
1067,@fmtoday Lim Guan Eng Pondan Racist,Lim Guan Eng Pondan Racist,2
1068,"Ala bodohnya baru dapat lesen ke apa, kalau dah bagi signal pun bukan terus masuk tunggu la sekejap tak mati pun",sekejap,2
1069,Bagus dah tu ade perubahan. tp jgn tersasar bro. Jahanam diri kau nnti,Jahanam,2
1070,@arramia @B_200_CEB @nytimes @Fahrihamzah @Dahnilanzar @Reuters Rezim biadap komunis bengis,bengis,2
1071,"Bangun tidur, iseng klik Twitter.. eh ada tagar
#01MenangKomunisSenang

Ngga bakal senang sih komunis, krna 01 bakalan kejengkang...",01,2
1072,ok dah malas nak bersedih acc maybank dah buat,acc maybank,2
1073,"Terawih setahun, 30 hari pun malas nak p  #apanakjadi ",Terawih,2
1074,@santeira @hanishx @IblisTerlaknat Kalau kutuk orang racist dia la no 1 tapi kutuk orang kelantan boleh pulak. Bodo ke?,1,2
1075,"Butoh artikel gempak
Orang tu putus tunang ler gile...adui2",Butoh,2
1076,"Worst buka puasa, paling hambar, paling tak bermakna, paling benci.",Worst,2
1077,"Harini nak buat cheesecake, brownies, biskut choc n chip. Omg omg tp tu la. Bila malas menguasai diri..",Harini,2
1078,@ssirah Kalau liberal serong kanan gmna Om?,Om,2
1079,Apa bodoh sangat engko ni? Ip 8+ plus mana ada 32gb bodoh cakap macam takde akai!,32gb,2
1080,@Msyrdzi Tak sweet pun. Sakit hati adala,Tak,2
1081,Cina kafir komunis masuk neraka saja sana #GerakanSubuhAkbarIndonesia #,Cina,2
1082,"Orang cakap , org bodoh jangan dilayan kalau dilayan sama2 bodoh . So keep yr circle small",org,2
1083,"@avpfat @TirtoID Lol 
Ideologi komunis memang terlarang di Indonesia.
Hadeuh.",Indonesia,2
1084,Jahanam ade member gila dalam rumah,Jahanam,2
1085,Kim il sung aries politikis komunis korea utara yg keren abis,Kim il sung,2
1086,"tapi lain lah kalau memang he doesnt make time for you sebab buat benda tak berfaedah je kiranya malas nak borak, angkat kaki ciao sister",sister,2
1087,"Semalam aku tak jumpa tudung bawal .  Lupa letak mana. Malas nak fikir cari tudung, aku beli je tudung bawal baru, rm12 je.",Semalam,2
1088,"@ruhutsitompul hanya partai KOMUNIS yang membenturkan AGAMA dng PANCASILA.....
negara khilafah hanya KIBULAN BELAKA...
NKRI HARGA MATI....",KIBULAN,2
1089,"@KwikKianGie_ MENTRI LIBERAL KAPITALISME nih...
Kelamaan hidup di Amerika...",Amerika,2
1090,Padan muka siapa suruh x start puasa awal2. Esok ada 2 jemputan open house,Esok,2
1091,@tg_haslinda @ngehkooham Butoh prihatin..tu dia nk jajah tanah melayu. Bodoh macam kau je tak nampak permainan komunis,Butoh,2
1092,Sumpah sakit hati tengok si Intan ni #CuriCuriCinta,CuriCuriCinta,2
1093,"Woi Digi babi. Aq bayar mahal2, line cam babi, time payment cepat2 nak. Line cam sial, bodoh, mak kau ijau. Fuck digi bodoh",Digi,2
1094,@Candraasmara85 @ugisugiharto @mohmahfudmd @KPU_ID ..people.power nya aku gak siap...tapi duel ama amien Rais nya aku siap...sampai mati,Rais,2
1095,Tengah sakit hati tengok screen phone sndri. Gatai pasang yg 8d protected punya. Haaaa tengah rembang panas tak nampak apa phone ,Tengah,2
1096,Ada tak dikalangan kawan-kawan JB yang nak meniaga durian tapi tak tahu nak meniaga kat mana? Meh pm aku sebelum aku mengamuk.,JB,2
1097,"@ajimomarinos @DanialAzraei Ahli politik ni semua nak protect kapitalis, rakyat ni protect setahun sebelum PRU je.",PRU,2
1098,@tuan__kopi @RickyNSas @historyofpersib Spt Cina Negara Komunis tapi saat ini kehidupan disana lebih kapitalis dibandingkan negara barat,Spt,2
1099,@lippythesnow @ustadtengkuzul Arab Saudi tetaplah sebuah negara. Perilaku represif terhadap kritik bukan monopoli negara komunis.,Arab Saudi,2
1100,"Maggi bukan punca bodoh,kau yang malas nak belajar",Maggi,2
1101,Pukimak punya ref,Pukimak,2
1102,Pki itu partai. Paham komunis itu sumbernya yg akan merusak indonesia. Paham itu lah yg berkembang scara masif. Berantas !,indonesia,2
1103,Uwek kena marah ,Uwek,2
1104,"Mudah je formula PH nak menang..

Tun M tolak DAP parti racist..menentang Islam..menghina islam..menghina raja2..tu je kena buat..",Islam,2
1105,"BIADAP, CAMANALAH KAWAN KAU NAK KERJA NANTI BESAR KECIK KECIK PUN BEBAL NAK MAMPOS.",BIADAP,2
1106,"Pengen ke Amrik:

Jalan-jalan 

Academic related 

Biar bisa misuh aduh ribet deh visa amrik yaampun dasar negara kapitalis ",Amrik,2
1107,Dh la attention seeker. Pasya cari alasan utk attract attention org. Mcm sial la group ya. Pdh mok capai kpi pa indah n go big.,Pdh,2
1108,"@KwikKianGie_ @saididu Itu caranya komunis, yg diadu domba Ulama dgn orang2 baik.",Ulama,2
1109,"@ustadtengkuzul KOMUNIS dulu lebih jelas menunjukkan dirinya di Indonesia sebagai agitasi politiknya, KOMUNIS sekarang sangat Agamis.",Indonesia,2
1110,"Hanya Komunis dan Iblis yang benci dgn Ulama. 
#UASdifitnahKejiDanBrutal
#UASdifitnahKejiDanBrutal",Ulama,2
1111,"Demam urat sebab tarik lembu.  Jahanam punya lembu, dah sakit tu buat cara sakit ",Jahanam,2
1112,"bakpelah family tak pernah buat tema baju raya royal blue, ambe malas nak jahit baju kurung pesak ni ",ambe,2
1113,@niniesrina Boneka kapitalis,Boneka,2
1114,@sukepdengue @wawazukasensei @AimanTino98 Terima kasih kerana memyokong sukep petrol denggi. Aiman Tino..,Aiman Tino,2
1115,Astaga. Nak mcmtok la x rindok d tgga. Rupa sawan dh nemiak ya d tinjak palak. Jahanam nemiak kinektok,Jahanam,2
1116,"Jadahnyaaa citer nii... adoiii.. mcm bodo jee... 
#AdamChempaka",AdamChempaka,2
1117,@M_Hasyim_R @Humas_MKRI Untuk usir Komunis China,Komunis China,2
1118,"@hansdavidian Mamang ojek kan kapitalis, mereka menguasai sendiri alat produksi mereka (itu motor)",Mamang,2
1119,emg kalo bahas sosialis-komunis dan tektekbengeknya tuh bakal debat panjang kayaknya,tektekbengeknya,2
1120,Koyak tak koyak hormat lah cikgu bodo mampus lah bapok ke tak babi adab mana bebal NAUZUBILLAH,NAUZUBILLAH,2
1121,"Bolos dikira komunis
Magang di cap kapitalis
Tidur dianggap fasis
Pergi ke kantin tak ideologis",Bolos,2
1122,@erinzryn Masalahnya malas nak ke sana. Tu je,Tu,2
1123,"kiri dikira komunis
kanan di cap kapitalis
keras dikatai fasis
tengah dinilai tak ideologis

kotaku indah nan damai 
#BANDUNG",BANDUNG,2
1124,aku stress la tgok shoppe nie. kurta elok2.,shoppe,2
1125,"Dah 22tahun, dah penat nak bergaduh bermasam muka sakit hati semua ni. Masing2 dah matang. Diam lagi bagus.",22tahun,2
1126,@na_dirs @nucare_lazisnu Liberalis ngaNU yang hidupnya di ketiak dan makan dari uang kaum anti Islam harap dimaklumin ajah ,Liberalis,2
1127,Unfollowing Kemba,Unfollowing Kemba,2
1128,"Paling sakit hati tggu benda ni
 paling cpt loaj 2 season dkt liga Belgium",Belgium,2
1129,"@azumi_tsuyoshie Komunis paling aleegi sm islam

#MKHarusTepatiSumpahJabatan
#MKHarusTepatiSumpahJabatan",MKHarusTepatiSumpahJabatan,2
1130,"Siang-siang makan roti
Malamnya makan urap
Kalau gamau sakit hati
Jangan terlalu berharap",Siang-siang,2
1131,KHAKAHAKAHKAWH BODOH NYA!!!!!,BODOH NYA,2
1132,@TeladanRasul Gua paling benci kalo diteriakin wahabi,wahabi,2
1133,Butoh punya spurs tak boleh pakai kena harap man utd jugak #GGMU,GGMU,2
1134,"So kiranyaa harini mood en manager baik lahh. Choiiii!!!

Nak kira mood dia je baik
Org lain nya mood mcm mana ?

Sila meninggal",harini,2
1135,@JimieyAng  haa g lah. Rupa xkan bertahan sampai mati pun. Aaron aziz pun x hensem dah sekarang ,Aaron aziz,2
1136,"@abehanief Yuval Noah Harari, kitab-kitabnya cocok utk manusia2 liberal, rasional, pragmatis, &amp; kapitalis kek aku. He is a Navi! ",Yuval Noah Harari,2
1137,@dikychandra_ Syiah atau liberal ya mereka itu?,Syiah,2
1138,"@esmady_dody @bernamadotcom Cuba cakap cikgu ni cantik macam Fazura, mesti tak kena rotan.",Fazura,2
1139,"@RajaPurwa Aku bangga jadi anak bangsa Indonesia, yg beragama tidak komunis..

#PKIvsPANCASILA",Indonesia,2
1140,@armawaras @hanumrais @kumparan ouh jelas srbagai muslim saya harus marah dan benci komunis.,muslim,2
1141,"Kau tahu tak apa yg lagi teruk dari driver kereta tak bagi signal ? 

Penunggang motorsikal yg lalu bertali arus kat lane paling kanan sampaikan lebih 1km kereta kena on signal and teleng kepala nak toleh belah kanan, tengok side mirror kemudian akhirnya terlepas simpang",1km,2
1142,"That's right.  Bila kita TURN OFF, ""harap maaf, perempuan yg anda kenali tiada dalam kehidupan. Sila meninggal"" ...",OFF,2
1143,@jay_meisters @mkini_bm Hbis komunis buat apa kt Malaya dlu? Depa dtg main pistol air dgn askar ke? Bodoh,Malaya,2
1144,Ye lah malas nak layan..,Ye,2
1145,Everytime post video Nashrah takut or nangis dkt ig story mesti ayah DM pastu kena marah ,Nashrah,2
1146,@dillarama Wah anda ternyata merantau sekarang sdh jd hAmBA KaPiTALiS yaAAaaAaA,KaPiTALiS,2
1147,Tu maknanya dia dah malas nak terikat dengan sesiapa pun / memang tengah memilih yang terbaik untuk dirinya.,Tu,2
1148,"Act aq mmg malas nak balik, tp bile fikir ade byk bende nak setel kat kg terpaksa ah cari ikhtiar",kg,2
1149,"Tunjukkan liberal kau dan pergi ke kaum Cina sambil berkata, Eh warna putih ni kan melambangkan kesucian.

Tengok kau berani tara mana.",Cina,2
1150,"Malas nak tanya banyak banyak, ado mulut nyo tahu lah royak hok betul",hok,2
1151,@ferizandra Buat kaum Sosialis Komunis ga akan ada yg namanya Oposisi,Sosialis Komunis,2
1152,"Dah kantoi plan mama lisa, padan muka suka sgt memaksa.. Tpi kesian kt arif  
#CariAkuDiSyurga",CariAkuDiSyurga,2
1153,"@mufmellouw @hafizikk93 @_AmranFans Kan.. Siap ajak orang lain benci sama. Kau nak benci, benci je la sorang2",Kan,2
1154,sering jalan-jalan di Plaza Indonesia membuat saya sadar kalau saya anti kapitalis karena saya tidak mampu hidup kapitalis ,Plaza Indonesia,2
1155,Berbuka berdua je dengan alisha jadi malas nak masak hmm,alisha,2
1156,"sayap kiri sosialis vs sayap kanan konservatif 

karl marx x rangga muslim 

""imbang""",muslim,2
1157,Time od la nk mntak mcm2. Bodoh jugak,Time,2
1158,"@AnnaSuezann Yg dateng pasti pasukan barisan sakit hati penerima nasi bungkus isi lengkuas disangka rendang.

#BentukTPFkecuranganPilpres",rendang,2
1159,@ronavioleta Logika sinting para kapitalis barat supaya mereka tetapi kaya dgn memberi hutang.,Logika,2
1160,Colleague macam bodoh,Colleague,2
1161,@EncikDaunkari Denggi ke ?? Esok pagi la tuu baru doktor pakar cek tuu..,Denggi,2
1162,@syakir0h Demam denggi.Duk hos selasa ritu lagi,selasa,2
1163,@MuffinMegat Padan muka. Tidur jela kat luar. Ketegaq lagi.,Ketegaq,2
1164,@Maxis bingai line maxis. Duit bukan main kaut lagi line macam bodoh. Memang aku tukar plan ah.,bingai,2
1165,"bila nak tayang scene Iza 
kena rogol tuh
geram tgk perangai Mak Long tuh suruh senyap sikit..tak sabar dah haa #CuriCuriCinta",CuriCuriCinta,2
1166,"Mang'a u mw bias u dh snank snank karir'a berkembank,,,taunya cm dijadiin,,minion kapitalis...sama umpan politik? Nga kan? Aq sih nga mw.",Mang,2
