text_a,text_b,label,NE_type,PoS,isReply
UMNO tarik sokongan. Lepas tu 30 MP UMNO keluar parti. Tak terciduk? Permainan kerusi mereka masih belum tamat....,UMNO,-1,NORP,PROPN,False
"kerajaan luluskan surat MITI so x leh nk salahkan rakyat klo kes naik , hmm gitu ler",MITI,-1,ORG,PROPN,False
Kerajaan Pahang dan Sultan rupanya...yg tu yg hgpa dok minta p mengadap tu...jem.,Pahang,-1,GPE,NOUN,False
MB Kedah kata taknak bagi bantuan dekat rumah yang ada bendera putih konon propaganda pembangkang.,Kedah,-1,GPE,PROPN,False
Jangan sesekali membenci negaramu. Negara kamu tidak salah. Bezakan kerajaan dan negara. Jangan benci Malaysia.,Malaysia,-1,GPE,PROPN,False
@heisseschoko2 Parti Sarawak Bersatu ada lagi.,Parti Sarawak Bersatu,-1,NORP,PROPN,True
"Jarang nampak ahli politik bersemangat nak pergi mahkamah bila kena tuduh macam Syed Saddiq. Selalu banyak alasan. Mata sakit lah, lawyer kena kuarantin lah, tangan kena gigit anjing lah.",Syed Saddiq,-1,PERSON,PROPN,False
"PH selangor kalau ada kuasa mengawal, step up la. Tak payah tunduk sangat telunjuk muydin kitol PN bebal tu. Semua nak jaga poket kapitalis",PH selangor,-1,GPE,PROPN,False
Nauzubillah kerajaan pn memang gagal,Nauzubillah,-1,PERSON,PROPN,False
BERSATU ASIA TENGGARA,BERSATU ASIA,0,ORG,PROPN,False
Ambo setuju. Islam itu indah. Ularmak politik yang menghancurkannya.,Islam,-1,GPE,NOUN,False
"Bising la jing, kerajaan yg bahalol, bukan negeri, bahalol.",Bising,-1,GPE,PROPN,False
Nampak sangat @MuhyiddinYassin @IsmailSabri60 @MKNJPM lemah kerajaan Sabah tak ikut fasa korang,Sabah,-1,NORP,PROPN,False
"@TunCarlos666 Yang terlalu banyak tu Selangor tau tak, krejn. Pn k Ph , tutup la kilang yg bwk penyakit, tu yg d katakan nk bunuh rakyat",Selangor,-1,GPE,PROPN,True
Tak nampak pn sapa2 p yg Black Demokrasi. Beria kerajaan negeri Kedah buat sekatan bagai. Bukan ka tu saja2 main2 tipu2 ka.,Kedah,-1,LOC,PROPN,False
Mari kita hapuskan parti bersatu dari landskap politik malaysia. Ayuh anak muda.,politik malaysia,-1,GPE,NOUN,False
@wnamirul_ Aku pun nak merajuk sial dengan kerajaan. Selagi selangor tak ok aku nak duduk perlis,selangor,-1,GPE,NOUN,True
Pastu bising kerajaan gagal. Phuii,Phuii,-1,GPE,PROPN,False
"aku penat ni, kes makin naik, dine in buka, memang takde otak ke apa kerajaan negeri Sabah ni",Sabah,-1,GPE,PROPN,False
puak puak walaun ni ingat bendera putih tu DAP kot. Bodo punya PAS.,DAP,-1,ORG,PROPN,False
PERDANA MENTERI MALAYSIA SILA LETAK JAWATAN SEKARANG. SELURUH KERAJAAN ANDA TELAH GAGAL !!! #KerajaanGagal,KerajaanGagal,-1,ORG,PROPN,False
Mohon kerajaan sekat beroques kelantan balik ke Malaysia.,Malaysia,-1,GPE,PROPN,False
KERAJAAN OUHH KERAJAAN,KERAJAAN,-1,ORG,NOUN,False
@ai_azman @nikabduh Cerdik takleh menumpang kata org kedah utk bahasa lunak kpd bodoh. Itulah majoriti ahli politik di negara kita tercinta.,Cerdik,-1,GPE,PROPN,True
"Wei bodoh, dah gelaran pun YB, memang kerja kena politik lah, bukan nganjing rakyat up gambar makan maggi",Wei,-1,PERSON,PROPN,False
caprice cakap sebab kerajaan sekarang dia takkan balik malaysia? memamg la covid ni. aku tak balik melaka dari Raya tau. semua sebab kerajaan.,caprice,-1,PERSON,NOUN,False
Ore tuo ni peseng attached sangat dengan YB DAP ni apa pasai ada je dia dok komen harem sungguh,DAP,-1,NORP,PROPN,False
@lcsmxms Dap Melaka siap ada pantun lagi .,Dap Melaka,-1,GPE,PROPN,True
@apiqmael Dap dok,Dap,-1,GPE,PROPN,True
"Eh hello sbb DG hisham lah malaysia hampir menang melawan covid tau, datang hal politik yg dekt sabah tu sampai skrg takde perubahan langsung, stupid dumb dumb eiii",DG,-1,GPE,PROPN,False
"bangang orang kata buat PKP menyeluruh, bukan PKP suam suam kuku. Bangsat punya kerajaan, takut dengan tauke kilang.",PKP,-1,ORG,NOUN,False
@duittonium Bau machai umno..patut lah kalah di Muar..,Muar,-1,GPE,PROPN,True
@annazrulan @MuhyiddinYassin Semoga Allah balas apa yg apa kerajaan mahiaddin ni buat. Laknat sampai akhirat.,Laknat,-1,GPE,PROPN,True
"Sejak jadi kerajaan, kita lihat PAS ini merupakan parti yang paling reaksioner, di mana mereka cuba mendoktrin masyarakat hari ini bahawa apa sahaja pemerintah buat, semuanya betul. Meskipun dalam keadaan rakyat sedang tertindas oleh pelbagai tindakan yang mereka perkenalkan.",PAS,-1,NORP,PROPN,False
Kerajaan PN bukan orang Melayu ke? Divisive politics that prey on racial sentiment need to stop.,Melayu,-1,ORG,PROPN,False
@imHainuar parti DAP takdak yg bertanding dalam negeri perlis,perlis,-1,GPE,PROPN,True
@MenteriBesarNS Selepas Sabah sasaran seterusnya Selangor &amp; N9...agenda politik..,Sabah,-1,GPE,PROPN,True
"Wehhh, ini baru level ketua UMNO bahagian 11 juta der. Yang atas2 lagi takkan rm11 je derrrrr. Hidup MELAYU!",UMNO,-1,NORP,PROPN,False
"aku daa fedup tunggu vaksin. bukan takat marah daa aku nie, da takat malas nak ambil tahu daa. aku nie golongan berisiko tinggi bukan aku nak meroyan saja-saja. lepas tu, kerajaan negeri selangor sibuk bagi warganegara asing dulu &amp; rakyat bukan negeri selangor.",selangor,-1,NORP,PROPN,False
Nasib kerajaan Melaka tak buat macam tu. Boleh gila aku ni. Mental nanti,Melaka,-1,GPE,PROPN,False
How on earth korang masih ada hati nak buat parti time2 mcm ni.mmg nak mati gamaknya.,earth,-1,PERSON,NOUN,False
Kerajaan Junta satg..... takmau la...,Kerajaan,-1,GPE,PROPN,False
@mkini_bm La..ingatkan cerita ni dh abis. Selagi boleh la kan tamatkan politik Anwar,Anwar,-1,PERSON,PROPN,True
Apahal Parti Asasnya Sembang (PAS) nih anti sgt dgn org kibar bendera putih nih?,org,-1,ORG,NOUN,False
@mohd_hafiz14 Kahkahkah lawan pai lawan! Aku harap kau sedia nak jadi ketua pemuda parti waknat Melaka,Melaka,-1,ORG,PROPN,True
@thevibesnews @MuhyiddinYassin Bersatu yg ada kedudukan tapi tiada pengaruh. Boo,Boo,-1,ORG,PROPN,True
"Lepastu menteri boleh tanya ""Kerajaan gagal dari sudut mana?"" Dasar benak",Kerajaan,-1,PERSON,PROPN,False
"Yang konon pejabat PAS diconteng di Perak tu kalau setakat gambar aku tak berapa percaya sangat.Kalau ada video langsung (live) tunjuk kesan contengan tu baru aku percaya. Bukan tak pernah tengok parti politik raih simpati sebegini, nampak macam kena khianat tapi sendiri buat.",Perak,-1,LOC,PROPN,False
Sarawak laju sebab kerajaan negeri handle dgn betul. Tempat lain mana2 tah pergi byk naw kurang nya.,Sarawak,-1,GPE,PROPN,False
Pandemik membuka mata kita terhadapa ahli politik. Kalau tak nampak lagi tak tahu lah,Pandemik,-1,PERSON,PROPN,False
"Aik.. Rakyat di suruh duduk rumah, Parlimen tak boleh bersidang, Tapi perbincangan politik camni boleh pula",Parlimen,-1,ORG,PROPN,False
"@AtikahAzmar @zahidzidane @adam_is_malik @RinaMohdHarun @InjangNation Bkn takat rantau, jempol pon sama. Mentang2 BN yg pegang parlimen dan dun.",BN,-1,ORG,PROPN,True
"Orang ramai rasanya faham. Yang tak faham orang jenis macam kau. Dulu masa UMNO teruk kau ni, join PN makin teruk.",UMNO,-1,NORP,PROPN,False
"Just nak bgtau. Seumur hidup aku tak pernah undi pas. Dan aku tidak akan undi pas sampai mampos. Pru akan datang aku harap org kelantan semua jgn undi pas. Jika ada parti monyet, pangkahlah parti monyet lg baik.",org,-1,ORG,NOUN,False
Langkawi vaksin byk tu diam sikit. Jgn heboh kat sosial media sgt. Takut sanusi dengaq nanti dia kata agenda politik lak jem,Langkawi,-1,GPE,PROPN,False
situasi terkini politik kedah,kedah,-1,GPE,NOUN,False
At this point aku pun tak tahu la nak vote sape. Vote kerajaan semut je laa,Vote,-1,ORG,PROPN,False
"Busuk dan hinanya Harakah. Masa time pembangkang, kemain persoal walau benda betul. Sekarang, pertahan walau benda salah.",Busuk,-1,WORK_OF_ART,PROPN,False
Ini semua salah DAP k,DAP,-1,GPE,PROPN,False
Kerajaan Bar-B #KerajaanGagal,Kerajaan Bar-B,-1,ORG,PROPN,False
"Kalau MB Kedah yang duduk dalam kerajaan pun tak sure SOP macam mana, rakyat apetah lagi.",Kedah,-1,GPE,PROPN,False
Sapa yg sokong kerajaan ni tgk ni. Punca PRN sabah la case naik teruk sampai cm ni.,PRN,-1,ORG,PROPN,False
"Yang dah maki-maki kerajaan dan imigresen tadi, bersedialah nak merangkak kat Padang Merbok nanti.",Padang Merbok,-1,GPE,PROPN,False
Harini kate pn bn pas bersatu. Tapi........,Harini,-1,ORG,NOUN,False
@KroniRakyat Yg dah mumia pun ikut bangun ratib nama DAP.,DAP,-1,NORP,PROPN,True
"Bersatu, dan bersama untuk negeri kita. T.T #proud",Bersatu,1,ORG,PROPN,False
"Belum lagiii, lepas ni kerajaan umum Total Enhance Movement Control Order. Total EMCO",Total,-1,ORG,NOUN,False
Template jawapan menteri umno ke camne ?,Template,-1,PERSON,PROPN,False
@hrsvna_ @amiraaazmin Semoga terlaknat la semua ahli politik Malaysia.,Malaysia,-1,ORG,PROPN,True
"Banyak duit bayar JKOM buat kerja. Bala kerajaan ini, bala.",JKOM,-1,ORG,PROPN,False
Aikk umno tak sokong PM. Tapi sokong TPM ke cana?,Aikk,-1,GPE,PROPN,False
MB terbaik Selangor pernah ada. Bangang punya PKR pergi singkir. Bangang!,Selangor,-1,GPE,PROPN,False
"Tak nak balik Malaysia selagi kerajaan tak tukar. Eh babi, tukar ke tidak. Tender kau memang takkan dapat. Butoh pak hang.",Malaysia,-1,GPE,PROPN,False
"Makin hari makin sakit hati aku dengan perangai menteri, ahli politik kt Malaysia ni.",Malaysia,-1,GPE,PROPN,False
"@NicnackNina Kesian sesama sekalian rakyat marhaen ! Kerajaan cepat runtuh, siap masalah semua !",Kesian,-1,PERSON,NOUN,True
dulu tak minat pon politik ni tapi sbb #KerajaanBodoh kena la ambik tahu,KerajaanBodoh,-1,WORK_OF_ART,PROPN,False
Bahaya DAP @zack_rockstar @zunarkartunis @RashidYusoff11 @RajaMohdShahrim,Bahaya DAP,-1,ORG,NOUN,False
Atau buat kerja gila mcm yg mereka buat kat Sabah hingga kerajaan Warisan terpaksa bubarkan Dun. .,Sabah,-1,GPE,NOUN,False
"Kerajaan bangsattt, politician/artis bebas buat hal",politician,-1,NORP,PROPN,False
Tiada benda lain lagi ka politik Malaysia ni?,Malaysia,-1,GPE,PROPN,False
@realDrMAZA Perlis takda kes pasal takda DAP la kan?,Perlis,-1,GPE,PROPN,True
"@duittonium Pelikkan bila DAP punya geng buat hal, Lawyer diam jer",Lawyer,-1,PERSON,PROPN,True
Kerajaan paling bodoh dan sembah duit dalam sejarah Malaysia @MuhyiddinYassin #KerajaanGagal,Malaysia,-1,GPE,PROPN,False
Bila suruh tutup kilang tapi kerajaan suruh tutup lembah Klang. Pale hotak kau..,Klang,-1,GPE,PROPN,False
@MMargani5 Kan Bersatu KELAK,Kan Bersatu KELAK,0,ORG,PROPN,True
Lain kali mun time PRU klk kita robohkan bendera parti,PRU,-1,GPE,PROPN,False
"srs ndafaham, kalau Sabah boleh ndafollow kerajaan, kenapa ndabuat total lockdown sendiri slps raya?",Sabah,-1,GPE,PROPN,False
Kita perlukan Majlis Pemulihan Negara utk menyelesaikan krisis utama negara akibat Covid-19. Usahlah bermain politik! Rakyat dlm kesusahan! Hospital dlm keadaan tenat!,Covid-19,-1,EVENT,PROPN,False
Umno memang bukan dalam PN. Tapi kat parlimen kau duduk blok mana Baghal?,Baghal,-1,GPE,PROPN,False
Abaikan manuver politik TWK KPK Konstitusional #ASNdiKPKwajibTWK,TWK KPK Konstitusional,-1,ORG,PROPN,False
PN/Bersatu Promising Golden Tribute To The Sultan Of Johor? | Sarawak Report https://t.co/S3W4oQrqCO via @sarawak_report,Johor,0,GPE,PROPN,False
"Selangor dah boleh berhenti main politik kot, hari-hari kes tinggi.",Selangor,-1,GPE,PROPN,False
Aie klk madah segal pru sabah segal kerajaan,Aie klk,-1,GPE,PROPN,False
Nak bawak politik bersih konon Hamasah tanpa hikmah macam ni la jadinya,Hamasah,-1,ORG,PROPN,False
Kini360: 23 kes Covid-19 varian Afrika Selatan dikesan di Kelantan https://t.co/87w2lXCag5 #PH #KerajaanGagal #PHKerajaanGagal #PHGagal,PHGagal,-1,ORG,PROPN,False
Boleh dikatakan semua bangsa di Malaysia ni rasis. Semua benda nak dipaksikan pada bangsa. Sebab itu parti politik berasaskan bangsa kekal relevan.,Malaysia,-1,GPE,PROPN,False
"Bila bab merosakkan alam sekitar, DAP PAS",DAP PAS,-1,ORG,PROPN,False
"Harapkan pembangkang, pembangkan pun tak guna #PembangkangLemah",PembangkangLemah,-1,ORG,PROPN,False
Benda baik macam ni ramai tak share laa ... Yelaa yang bagi tu bukan parti muda bukan org hensem yg bagi ... Tahniah zakat Selangor,Selangor,-1,GPE,PROPN,False
Mabuk ketum ke apa? Bukan pemimpin umno ke dalam kabinet tu?,Mabuk,-1,PERSON,PROPN,False
Masa Hadi Awang ni jadi pembangkang..tak cari keburukan kesalahan PH? BN ? masa tu hadi ni apa? Khinzir?,BN,-1,ORG,PROPN,False
Area shah alam ada org buat service moto ke? Pkpd menyussah kan org saja babi kerajaan ni! #KerajaanBangsat #KerajaanPembunuh #KerajaanGagal,Area,-1,GPE,PROPN,False
Sebak nya baca.. bodoh punya kerajaan boleh gelak2 lagi,Sebak,-1,ORG,NOUN,False
"Ya, kerajaan nampak tidak serius dengan nyawa rakyat Malaysia",Malaysia,-1,GPE,PROPN,False
"Kerajaan Malaysia pada ketika ini sangat cacamarba, berpunca daripada barisan pemimpin yang cacamarba.",Kerajaan Malaysia,-1,GPE,PROPN,False
"@farhanzahari Dasar UMNO, pusing mana pun tetap penyamun, mana boleh percaya.",UMNO,-1,NORP,PROPN,True
"Bayangkan kalau DAP buat mcmni, habis satu mesia riot, puak2 lebai terus hentam",DAP,-1,NORP,PROPN,False
Aku perati je budak DAP terus kecut bab Penang. Negeri lain laju pula trollnya.,DAP,-1,NORP,PROPN,False
UMNO nak keluar PN ke nak masuk ke takmau tau. Yang nak tau sekarang bila boleh rentas negeri ?,UMNO,-1,NORP,PROPN,False
Wujud lagi ke Skuad Bridged Gempur Pemuda BN ni?,Skuad Bridged Gempur,0,ORG,PROPN,False
Kerajaan Kelantan dibawah siapa? Kerajaan melyu Isley Mercedes kan? @PASPusat #KerajaanBangsat . Inilah rakyat dibawah pemerintahan #KerajaanZalim,Kerajaan Kelantan,-1,GPE,PROPN,False
"Kerajaan terpaling bangang, bodoh dan tak berhati perut. Kerajaan membela melayu islam abah cow",cow,-1,PERSON,PROPN,False
@hairigemok Kalau tak ikut burn tak bergerak sobat hari2 mahu makan sobat. Pala jimbet kerajaan,Pala,-1,GPE,PROPN,True
Selangor under you jaga.kes bila turun..ko buat kerja elok2 boleh..? Usah politik sangat dulu masa ini,Selangor,-1,GPE,PROPN,False
Kawkaw Mahiadin beli jiwa umno,Kawkaw Mahiadin,-1,GPE,PROPN,False
Rafizi memang dah x join dgn PKR lg ke? Maaf kalau saya silap,PKR,-1,ORG,PROPN,False
Umum keluar UMNO la bro. Kan senang cerita.,UMNO,-1,NORP,PROPN,False
"DAP cukup lah membela taikun2 kaya, pikirkan lah keseimbangan economy untuk politik tampa ada unsur provokasi",DAP,-1,NORP,PROPN,False
Covid dan ahli-ahli politik kat Malaysia ni sama-sama degil,Covid,-1,EVENT,PROPN,False
Apa pulak niiii??? Presiden UMNO Bertemu Sultan Perak? https://t.co/01hCv4x2WY via @Suara.TV,UMNO,-1,GPE,PROPN,False
@Langgar18 Patut covid kat Selangor tak turun turun...Kerajaan GAGAL Jual VAKSIN kat org Kaya rupanya..,Selangor,-1,GPE,PROPN,True
@RezElefun @Thashaj Takkan nak bagi vaccine sendiri. Nanti kena scam mcm kerajaan Penang. Tunggu je lah,Penang,-1,GPE,PROPN,True
Soviet Sarawak. F U bilang kepada kerajaan persekutuan. Hahaha,Soviet Sarawak,-1,GPE,PROPN,False
@mkini_bm Kerajaan pahang tunjuk kedaulatannya lalu penceroboh berang.,Kerajaan,-1,GPE,PROPN,True
"Agak2 kan ada x yb2 kerajaan yg turun sendiri mcm YB SS ni buat.....This is among the reason why we need more young politician in the country. Idealistics, fresh and energetic.",Idealistics,-1,ORG,PROPN,False
"@redrun_ Ish, tu pun ade yg kata langgar perlembagaan if akta Lompat Parti dibuat mmm alahai",Lompat Parti,-1,ORG,PROPN,True
"Nasihat saya kpd parti politik,termasuk geng saya,jangan hijack kempen bendera putih,jangan perlekeh,jangan hina.Rakyat betui2 sakit.Saya dah minta ahli2 PH Bukit Mertajam utk giat usaha cari orang susah utk dibantu. Gunalah apa cara utk hubungi kami, kami akan datang segera.",Bukit Mertajam,-1,GPE,PROPN,False
Today vaccine Dup dap dup dap,Dup,-1,ORG,PROPN,False
@ketua_darjat Marah bebenau orang Melaka. Memang bakau daghar kerajaan musibat ni...,Melaka,-1,GPE,PROPN,True
"@ikmalrazak Tapi macam nice jugak, takde kontroversi sangat macam Perak tu, haha, tengok PRU nanti boleh balik ke UMNO balik tak",Perak,-1,GPE,PROPN,True
"@liyanerss Sama je. Lepas tukar ke PN. YTL adalah syarikat kroni. Kroni kroni zaman BN lagi. So, bila PN ambik alih, masih sama juga",YTL,-1,ORG,PROPN,True
Orang UMNO cakap pasai rasuah dan integriti ni nak muntah dengar,UMNO,-1,NORP,PROPN,False
Berdoa midin dan azmin tiba2 hilang kuasa. Doa caprice stop cari clout and ulas issue. Berdoa pas bukan kerajaan,Doa caprice,-1,PERSON,NOUN,False
tapi silap la kenapa nak serang rakyat Sarawak lak ? serang la kerajaan yg buat decision kan?,Sarawak,-1,GPE,PROPN,False
PERTUBUHAN BERSATU TUTA JOHOR,JOHOR,0,GPE,NOUN,False
Lepas kerajaan umum mana2 dah lengkap second dose boleh rentas negeri memang aku auto start kereta terus balik kuantan je kehkeh,kuantan,-1,GPE,PROPN,False
"Bangnon ni kalau tak nampak apa yang tengah jadi dekat Selangor. Memang PKR jahanam GE15 nanti. Tak caye, tengoklah. #Bersihkankartel",Selangor,-1,GPE,PROPN,False
Ebit liew derma dekat millions santai je takde nak letak muka dia pun belen punya politik tua korup,Ebit liew,-1,PERSON,PROPN,False
Kerajaan Pahang ni babi eh?,Kerajaan Pahang,-1,GPE,PROPN,False
Kahkah bodoh gomen ni. Ketirisan merata-rata. Dari atas sampai bawah nak sapu hak orang lain. Ini ke cita-cita @chedetofficial? Sampai nak halang PH berkuasa dan @anwaribrahim jadi PM. LOL,Ketirisan,-1,PERSON,PROPN,False
"@shraff4 @mkini_bm Betoi tu.. tgok Sarawak, dh start berdesup.. utk kepentingan politik xpe buleh laju2..",Betoi,-1,GPE,PROPN,True
"Manusia tidak dapat hidup tanpa udara, tapi UMNO tidak dapat hidup tanpa rasuah.",UMNO,-1,NORP,PROPN,False
Yuran2 university dengan kolej ni dapat ke sapa eh? Kerajaan or pihak uni?,Yuran2 university,-1,GPE,NOUN,False
Patutnya @drzul_albakri nasihatkan @MuhyiddinYassin letak jawatan sbb ustaz tak terasa ke ni semua bala dr Allah sbb tipu mandat rakyat? Ustaz nak tunggu berapa ramai lagi mati sbb kerajaan yg tak peduli pd rakyat mcm kerajaan PN ni? Allahu musta'an.,Ustaz,-1,PERSON,PROPN,False
"Pokemak kes tak turun2, dhlaa kerja pun tak boleh. Duit makin habis, lahanat musibat lahabau kerajaan",Pokemak,-1,GPE,PROPN,False
"@IkmalRazali Itu lah, aku rasa kerajaan tgh nk cepatkan, PRN Sarawak dh nk dekat.",PRN Sarawak,-1,GPE,PROPN,True
@tiqasandbox Eiiii kau bagi jeling maut tak kt laki dia? Bongok tuh. Mm biase klinik atau hospital kerajaan mmg beginilah..,Bongok,-1,GPE,PROPN,True
@agendadaily Tipu lah...kita pun mcm mana kerajaan pelaburan..jgn kelintong lah PM,PM,-1,GPE,NOUN,True
@Casssss0120 @KekandaHoseok Sultan selangor ikut keputusan kerajaan...,Sultan selangor,-1,GPE,PROPN,True
Dia sbnrnya tau ke tak kerja kerajaan tu apa? Kutip derma agih kat org susah ke? Jadi NGO je la saitun,org,-1,LOC,NOUN,False
Kenapa jadi pembakang je terus buat kerja kaw2.. bila jadi kerajaan semua out.. ke ada sumpahan dekat Malaysia ni?. Siapa jadi kerajaan otomatik jadi buta hati.,Malaysia,-1,GPE,PROPN,False
@BN4everTN5O @MenselijkeSchu @azraeimuhamad Cibai buat malu nama koleq je manusia camni,Cibai,-1,PERSON,PROPN,True
PAS DAP,PAS DAP,-1,ORG,NOUN,False
@akmfrd Kerajaan Selangor takda kuasa untuk tutup kilang akibat covid. Hanya kerajaan persekutuan ada kuasa tu.,Selangor,-1,GPE,PROPN,True
Hari hari ada je berita pasal bunuh diri dah macam kat Japan dah tapi kerajaan masih penting diri lagi.,Japan,-1,GPE,PROPN,False
"Aku ni dahla bodoh dah,tambah pulak kerajaan buat PKPD selangor time LOCKDOWN!?",PKPD,-1,ORG,NOUN,False
Kerajaan Negeri Selangor ni betul all out jaga rakyat. Not asking for perfection. But apa yang kerajaan @AmirudinShari buat ni,Selangor,-1,GPE,NOUN,False
So apa function UMNO buat statement tarik sokongan?,UMNO,-1,NORP,PROPN,False
Jarang tak bebas org politik ni.. Relax Je Ahmad,Relax Je Ahmad,-1,PERSON,PROPN,False
"kerajaan buat la something , kes kat selangor , NS ngan KL tinggi kot , tutup la kilang itu jeee",KL,-1,ORG,PROPN,False
@Abrar_theabrar @KejoraLuna0085 @nurinnnzl @KKMPutrajaya Kau tanya kerajaan Selangor la,Selangor,-1,GPE,NOUN,True
@luke_karim Kerajaan Selangor takda kuasa untuk tutup kilang akibat covid. Hanya kerajaan persekutuan ada kuasa tu.,Selangor,-1,GPE,PROPN,True
Meanwhile parti penunggang agama siap boleh menikah kat Siam,Siam,-1,GPE,PROPN,False
Ini kerajaan segagal2 nya . . Aamin,Aamin,-1,GPE,PROPN,False
Seseorang yang lahir di Malaysia dan mempunyai Kad Pengenalan biru adalah pendatang - Ketua Pemuda UMNO Subang.,Malaysia,-1,GPE,PROPN,False
"Bila baca2 pasal politik Malaysia, mesti rasa hopeless gila. Allahhhhhhhh",Malaysia,-1,EVENT,PROPN,False
Kini360: 23 kes Covid-19 varian Afrika Selatan dikesan di Kelantan https://t.co/msXt4iDomD #PH #KerajaanGagal #PHKerajaanGagal #PHGagal,PHGagal,-1,ORG,PROPN,False
??? Sape yg maki2 aku sokong MB Selangor tu nnt cakap kerajaan pusat or federal yg putus kan? Habis jd MB buat ape?,Selangor,-1,GPE,PROPN,False
ni pandangan rasmi parti PKR tak? jangan nanti @anwaribrahim need to clarify back dengan DAP tak nanti? #PHUMNO,DAP,-1,NORP,PROPN,False
@harakahdailyHD Org PAS ni punya haprak. Kerajaan bangang mcm ni pon blh berbangga lagi. Mcm kat kelantan perigi sebelah jamban pon bangga buat air minum. #KerajaanGagal,KerajaanGagal,-1,ORG,PROPN,True
"Parti kerajaan buat sidang media tuduh kerajaan sendiri gagal. Siap bagi list dan contoh. Tapi Menteri MKN, Menteri Kanan, Menteri Kesihatan, Menteri Vaksin semua orang dia.. Haha",Vaksin,-1,PERSON,NOUN,False
Jutaan terima kasih kepada semua anggota PDRM Putrajaya serta keseluruhan barisan frontliners di negara kita. Dengan izin Allah swt; parti PEJUANG akan terus memikul tanggungjawab sosial sebagai fardhu kifayah dan melaksanakan peranan ini secara teramanah serta terbaik mungkin.,PDRM Putrajaya,1,FAC,PROPN,False
@localfaris Bukan Selangor Under PH? Baik PH Buruk orang lain.,Selangor,-1,GPE,NOUN,True
"Masalahnya bila pembangkang cadang itu ini, Kerajaan buat pekak je. Rakyat minta dan marah itu ini pun Kerajaan buat tak nampak. Kerajaan dah hujung-hujung nyawa ni lah nak cakap perlu bersama la, apa la. Cincau.",Cincau,-1,PERSON,PROPN,False
DAP ni taknak buat kenyataan rasmi pasal Pak Ronnie tu ke? Ke takat berani maki pak lebai je?,Ronnie,-1,PERSON,PROPN,False
Buka parlimen. Undi kerajaan baru. Khalas.,Khalas,-1,PERSON,PROPN,False
"Selangor je dah 6k, memang kerajaan ni nak tunggu semua orang kena ke? Nak bunuh semua orang?",Selangor,-1,GPE,PROPN,False
Senak perut ahli politik tua-tua bila tengok ni sebab rakyat dah tau boleh je sedekah dan buat kerja untuk rakyat kalau bebetul nak.,Senak,-1,GPE,PROPN,False
"Kerajaan sekarang ni No DAP, No ANWAR. Haaa telanlah kerajaaaan ummah korang ni",DAP,-1,NORP,PROPN,False
"@adat_fuaddy Kat Gombak rmi taksub ngn parti tu smpi buat banner besar Masuk P*s, Masuk Syurga! Bulshit syurga leader mcm Ayah Pin",Gombak,-1,GPE,PROPN,True
Caprice adalah calon calon yg sesuai untuk jadi macai politik yg bangsat,Caprice,-1,PERSON,PROPN,False
@1rmf5 @MatthewShanmu10 @M_uhauha_no @pussycat____ @kontarOP @iamjefrizain @Shawn35154099 @AjaxbroBro @HangBuah3 @MacthDeath @UzairAl22688085 @piesmile2007 @bossku_team @TeohPaikLeong @amran1817 @izhar1902 @Lugzan11 @_royalfinest @DmitriAlexande1 @PudinDon @BujalismReality @BadBoy2662 @evildimsum @khaipek @razmanrahim @MatthewShanmug9 @terrencedass @sirsazly @af_f4hmi @Bro2Face @mahazalimreturn @MatthewShanmug8 @GlobalKid6 @61_garuda @RameshRaoAKS @wallaun_cyber @KochenkoSlovak @Danialskops @epieys @azrulzaidi6 @rsharimah @Badacs1 @blackmerz101 @encikdoomex @MaisarraAnuar @chedetofficial @MukhrizMahathir @NajibRazak @umnoonline @NikYahya2 Tu olok olok.. Tapi ajar Umbi DAP dah mula tolak lks Dan LGE.. kena phuiii kat pulau pinang dan gelang patah..,Tu,-1,PERSON,PROPN,True
Angka tinggi di Selangor ada kemungkinan besar perihal politik...,Selangor,-1,GPE,PROPN,False
Kerajaan gagal. Gagal-segagalnya.,Kerajaan,-1,GPE,PROPN,False
Nampaknya macam dah boleh kot musnahkan semua ahli politik Malaysia yang tak guna ni. Last last rakyat tolong rakyat juga.,Malaysia,-1,GPE,PROPN,False
Lamanya nak hukum pemimpin. Tapi brand kan kerajaan skrg Melayu Islam. Memalukan.,Melayu,-1,NORP,PROPN,False
UMNO? no wonder lah.,UMNO,-1,GPE,PROPN,False
Sampai Kerajaan laksanakan...,Kerajaan,-1,GPE,PROPN,False
@ikangSALTY @hairysham_ Raye tahun ni nge dok raye same je ehh.. baik sek mg mikir gane nk jatuhkan kerajaan zalim lenii,Raye,-1,PERSON,PROPN,True
PAS ni parti paling jijik hina yang pernah wujud dalam muka bumi ni. Definasi penunggang agama : PAS,PAS,-1,ORG,PROPN,False
"Im not supporting government for now but i pun tak support pembangkang. Pembangkan pun sama ja time jadi kerajaan, semua hampeh",government,-1,ORG,PROPN,False
Kelantan pun ada nama DAP lah tanah nya. Zaman geng dulu kot.,DAP,-1,NORP,PROPN,False
Semoga DAP anjing kalah di Pulau Pinang pada pilihanraya akan datang akibat keegoannya yg menjadi penyembah kpd kapitalis bangsat. Amin...,Pulau Pinang,-1,GPE,PROPN,False
"sindrom anti kerajaan sgt memuncak masa kini, adakah jika kerajaan sediada digantikan bkn melalui PRU15 dapat memadam api bara tersebut ?",PRU15,-1,ORG,PROPN,False
